Conventional - Planned Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Installed Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Installed Capacity, CAISO Resources (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,BANC,,2739.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2764.65999,2739.65999,2739.65999,2739.65999,2739.65999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Generic CCGT Resources, External Zones (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,Zone,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,NW_CCGT,NW,,0,0,0,330,0,0,1255,1869,1869,1364.3999,2034.3999,2364.3999,2364.3999,2364.3999,2364.3999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2448.5999,2704.2399,2854.2399,2854.2399,2854.2399,2854.2399,2854.2399,2854.2399,2854.2399,2854.2399,3032.0399,5176.29
,,SW_CCGT,SW,,0,0,67.69999,388.69999,0,413.7,534.09999,803.09999,583.09999,0,721.7,1171.75,1393.75,1543.75,1543.75,1560.22,1560.22,1560.22,1560.22,1849.62,2139.02,2139.02,2224.01999,2224.01999,2224.01999,2831.41999,2831.41999,2831.41999,2831.41999,3395.41999,3395.41999,3395.41999,3395.41999,3395.41999,3395.41999,6582.46999
,,LDWP_CCGT,LDWP,,0,0,0,0,0,0,32.7,32.7,32.7,476.7,476.7,476.7,476.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2276.7,2824.1
,,IID_CCGT,IID,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
,,BANC_CCGT,BANC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Baseline Installed Capacity, All Zones(MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,Zone,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,CAISO_CHP,CAISO,,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867,1684.867
,,CAISO_Nuclear,CAISO,,2922.046,2922.046,2922.046,2922.046,2922.046,2922.046,2922.046,2922.046,2922.046,2922.046,1772.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046,622.046
,,CAISO_CCGT1,CAISO,,13438.87,13438.87,13438.87,12418.87,12418.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87,13702.87
