Existing Renewable Resources,,,,,,,,,,,,,,,,,,,,,,,
,44.0,PG3010,Geysers 2008 (175 MW),,PG&E,CA,Multiple,Sonoma County,Geothermal,,Existing,39494.0,42004.0,1.0,175.0,1533.0,1.0,CAISO,CAISO,CAISO,Geothermal,None,1.0
,45.0,PG3028,Mammoth G1 - RAM 2,CONTRL_1_CASAD1,PG&E,CA,Mono,Mono County (Partial),Geothermal,,Existing,41634.0,48938.0,1.0,7.5,52.82,0.803957382,CAISO,CAISO,CAISO,Geothermal,None,1.0
,46.0,PG3029,Mammoth G3  - RAM 1,CONTRL_1_CASAD3,PG&E,CA,Mono,Mono County (Partial),Geothermal,,Existing,41365.0,48669.0,1.0,14.0,98.51,0.803245271,CAISO,CAISO,CAISO,Geothermal,None,1.0
,47.0,PG40002,Swiss America,RIOOSO_1_QF,PG&E,CA,Placer,Placer County (Partial),Hydro,Small,Existing,31404.0,73050.0,1.0,0.1,0.286,0.326484018,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,48.0,PG40003,Tom Benninghoven,FTSWRD_7_QFUNTS,PG&E,CA,Humboldt/ Trinity,Trinity County,Hydro,Small,Existing,30277.0,73050.0,1.0,0.025,0.078,0.356164384,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,49.0,PG40007,Hat Creek Hereford Ranch,CTNWDP_1_QF,PG&E,CA,Shasta,Round Mountain - B,Hydro,Small,Existing,30294.0,73050.0,1.0,0.1,0.311,0.355022831,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,50.0,PG40011,Charcoal Ravine,RIOOSO_1_QF,PG&E,CA,Sierra,Sierra County,Hydro,Small,Existing,31456.0,73050.0,1.0,0.075,0.019,0.02891933,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,51.0,PG40016,James B. Peter,TBLMTN_6_QF,PG&E,CA,Plumas,Plumas County,Hydro,Small,Existing,30698.0,73050.0,1.0,0.015,0.118,0.898021309,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,52.0,PG40018,Sutter's Mill,VOLTA_7_QFUNTS,PG&E,CA,Shasta,Round Mountain - B,Hydro,Small,Existing,31223.0,73050.0,1.0,0.15,0.748,0.569254186,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,53.0,PG40020,Eric And Debbie Wattenburg,,PG&E,CA,Plumas,Plumas County,Hydro,Small,Existing,31143.0,73050.0,1.0,0.275,0.281,0.116645911,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,54.0,PG40024,Rock Creek Water District,TESLA_1_QF,PG&E,CA,Calaveras,Central Valley North,Hydro,Small,Existing,31468.0,73050.0,1.0,0.7,0.961,0.156718852,CAISO,CAISO,CAISO,Small_Hydro,Central_Valley_North_Los_Banos,1.0
,55.0,PG40026,"Hypower, Inc.",FORKBU_6_UNIT,PG&E,CA,Butte,Sacramento River Valley,Hydro,Small,Existing,33679.0,44635.0,1.0,10.8,41.988,0.443810249,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,56.0,PG40029,Nevada Irrigation District/Bowman Hyroelectric Project,BOWMN_6_HYDRO,PG&E,CA,Nevada,Nevada County,Hydro,Small,Existing,31642.0,42735.0,1.0,3.6,13.077,0.41466895,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,57.0,PG40030,Malacha Hydro L.P.,MALCHQ_7_UNIT 1,PG&E,CA,Lassen,Round Mountain - B,Hydro,Small,Existing,32484.0,47093.0,1.0,26.0,55.131,0.242057429,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,58.0,PG40033,Schaads Hydro,TESLA_1_QF,PG&E,CA,Calaveras,Calaveras County,Hydro,Small,Existing,31461.0,73050.0,1.0,0.23,0.614,0.304744888,CAISO,CAISO,CAISO,Small_Hydro,None,1.0
,59.0,PG40035,Steve & Bonnie Tetrick,,PG&E,CA,Shasta,Round Mountain - B,Hydro,Small,Existing,30603.0,73050.0,1.0,0.1,0.19,0.216894977,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,60.0,PG40038,Lofton Ranch,TBLMTN_6_QF,PG&E,CA,Shasta,Round Mountain - B,Hydro,Small,Existing,30624.0,73050.0,1.0,0.3,1.021,0.388508371,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,61.0,PG4004,Arbuckle Mountain Hydro,,PG&E,CA,Shasta,Round Mountain - B,Hydro,Small,Existing,31747.0,42704.0,1.0,0.3,0.471,0.179223744,CAISO,CAISO,CAISO,Small_Hydro,Northern_California,1.0
,62.0,PG40046,Canal Creek Power Plant (RETA),CURTIS_1_CANLCK,PG&E,CA,Merced,Los Banos,Hydro,Small,Existing,30256.0,42063.0,1.0,0.9,1.182,0.149923896,CAISO,CAISO,CAISO,Small_Hydro,Central_Valley_North_Los_Banos,1.0
