,Performance Inputs,,,Units,Active,User Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas - Distributed,,3.0,2013.0,,CAISO_CCGT1,Gas - CCGT
,,,Equity Floor,%,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,Gas - ICE,,,,,,
,,,PPA Escalation Rate,%/yr,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,
,,,Minimum DSCR,,1.4,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,,,,,,,,,,,,,,
,,,Variable Cost Pass-Through,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,Manual Equity Specification,,Equity Share,%,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Implied Equity Return,%,n/a,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,
,Tax Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toggle,,Enable Tax Credits,-,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
,ITC,,Credit,%,0.0,,,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Capital Costs Eligible,%,0.0,,,,,,0.95,,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,
,PTC,,Unit Credit,$/MWh,11.0,,,11.0,23.0,23.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Duration,yrs,10.0,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,Fuel Cost Inputs,,Units,Value,,,
,MACRS,,Term,yrs,10.0,,,10.0,10.0,10.0,5.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,20.0,,,,,,,,Fuel Cost,Gas,$/MMBtu,7.0862,,,
,,,Include Bonus Depreciation?,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Waste,$/MMBtu,-5.0,,,
,"Calculated Levelized Costs, 2015",,,,,,,"Values in blue text below are hard-coded.  To refresh, click the 'Calculate LCOEs, 2015' button",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood,$/MMBtu,2.34,,,
,Levelized Cost of Energy,,Capital,$/MWh,122.48223444320946,,,122.48223444320946,81.93819131406256,78.02418110921325,62.75657754902419,134.13122879600377,255.16831329484424,248.08549580965425,113.67464228079263,183.02067681422753,204.16947928108604,85.02499576506102,78.95243479068381,72.18383156103634,69.683653960543,69.72761158975713,65.17940562572421,60.64346977541611,58.823863732925915,63.74946611987314,83.81065761556685,13.156426177636275,40.75912424469614,143.37958328110034,19.780628130303516,73.87658627898507,7.387658627898508,24.575692557019316,134.69369959135594,177.2285520938894,177.2285520938894,,,,,,,,Escalation,Gas,%/yr,0.02,,,
