resource,day,value
Northern_California_Ex_Geothermal,32,0.81
Northern_California_Ex_Geothermal,33,0.81
Northern_California_Ex_Geothermal,34,0.81
Northern_California_Ex_Geothermal,35,0.81
Northern_California_Ex_Geothermal,36,0.81
Northern_California_Ex_Geothermal,37,0.81
NW_Biomass_for_CAISO,1,0.855319
NW_Biomass_for_CAISO,2,0.855319
NW_Biomass_for_CAISO,3,0.855319
NW_Biomass_for_CAISO,4,0.855319
NW_Biomass_for_CAISO,5,0.855319
NW_Biomass_for_CAISO,6,0.855319
NW_Biomass_for_CAISO,7,0.855319
NW_Biomass_for_CAISO,8,0.855319
NW_Biomass_for_CAISO,9,0.855319
NW_Biomass_for_CAISO,10,0.855319
NW_Biomass_for_CAISO,11,0.855319
NW_Biomass_for_CAISO,12,0.855319
NW_Biomass_for_CAISO,13,0.855319
NW_Biomass_for_CAISO,14,0.855319
NW_Biomass_for_CAISO,15,0.855319
NW_Biomass_for_CAISO,16,0.855319
NW_Biomass_for_CAISO,17,0.855319
NW_Biomass_for_CAISO,18,0.855319
NW_Biomass_for_CAISO,19,0.855319
NW_Biomass_for_CAISO,20,0.855319
NW_Biomass_for_CAISO,21,0.855319
NW_Biomass_for_CAISO,22,0.855319
NW_Biomass_for_CAISO,23,0.855319
NW_Biomass_for_CAISO,24,0.855319
NW_Biomass_for_CAISO,25,0.855319
NW_Biomass_for_CAISO,26,0.855319
NW_Biomass_for_CAISO,27,0.855319
NW_Biomass_for_CAISO,28,0.855319
NW_Biomass_for_CAISO,29,0.855319
NW_Biomass_for_CAISO,30,0.855319
NW_Biomass_for_CAISO,31,0.855319
NW_Biomass_for_CAISO,32,0.855319
NW_Biomass_for_CAISO,33,0.855319
NW_Biomass_for_CAISO,34,0.855319
NW_Biomass_for_CAISO,35,0.855319
NW_Biomass_for_CAISO,36,0.855319
NW_Biomass_for_CAISO,37,0.855319
NW_Coal,1,0.95
NW_Coal,2,0.95
NW_Coal,3,0.95
NW_Coal,4,0.95
NW_Coal,5,0.95
NW_Coal,6,0.95
NW_Coal,7,0.95
NW_Coal,8,0.95
NW_Coal,9,0.5
NW_Coal,10,0.5
NW_Coal,11,0.5
NW_Coal,12,0.5
NW_Coal,13,0.95
NW_Coal,14,0.95
NW_Coal,15,0.95
NW_Coal,16,0.95
NW_Coal,17,0.95
NW_Coal,18,0.95
NW_Coal,19,0.95
NW_Coal,20,0.5
NW_Coal,21,0.5
NW_Coal,22,0.5
NW_Coal,23,0.95
NW_Coal,24,0.95
NW_Coal,25,0.95
NW_Coal,26,0.95
NW_Coal,27,0.95
NW_Coal,28,0.95
NW_Coal,29,0.95
NW_Coal,30,0.95
NW_Coal,31,0.95
NW_Coal,32,0.95
NW_Coal,33,0.95
NW_Coal,34,0.95
NW_Coal,35,0.5
NW_Coal,36,0.95
NW_Coal,37,0.95
NW_Geothermal_for_CAISO,1,0.843269
NW_Geothermal_for_CAISO,2,0.843269
NW_Geothermal_for_CAISO,3,0.843269
NW_Geothermal_for_CAISO,4,0.843269
NW_Geothermal_for_CAISO,5,0.843269
NW_Geothermal_for_CAISO,6,0.843269
NW_Geothermal_for_CAISO,7,0.843269
NW_Geothermal_for_CAISO,8,0.843269
NW_Geothermal_for_CAISO,9,0.843269
NW_Geothermal_for_CAISO,10,0.843269
NW_Geothermal_for_CAISO,11,0.843269
NW_Geothermal_for_CAISO,12,0.843269
NW_Geothermal_for_CAISO,13,0.843269
NW_Geothermal_for_CAISO,14,0.843269
NW_Geothermal_for_CAISO,15,0.843269
NW_Geothermal_for_CAISO,16,0.843269
NW_Geothermal_for_CAISO,17,0.843269
NW_Geothermal_for_CAISO,18,0.843269
NW_Geothermal_for_CAISO,19,0.843269
NW_Geothermal_for_CAISO,20,0.843269
NW_Geothermal_for_CAISO,21,0.843269
NW_Geothermal_for_CAISO,22,0.843269
NW_Geothermal_for_CAISO,23,0.843269
NW_Geothermal_for_CAISO,24,0.843269
NW_Geothermal_for_CAISO,25,0.843269
NW_Geothermal_for_CAISO,26,0.843269
NW_Geothermal_for_CAISO,27,0.843269
NW_Geothermal_for_CAISO,28,0.843269
NW_Geothermal_for_CAISO,29,0.843269
NW_Geothermal_for_CAISO,30,0.843269
NW_Geothermal_for_CAISO,31,0.843269
NW_Geothermal_for_CAISO,32,0.843269
NW_Geothermal_for_CAISO,33,0.843269
NW_Geothermal_for_CAISO,34,0.843269
NW_Geothermal_for_CAISO,35,0.843269
NW_Geothermal_for_CAISO,36,0.843269
NW_Geothermal_for_CAISO,37,0.843269
NW_Nuclear,1,1
NW_Nuclear,2,1
NW_Nuclear,3,1
NW_Nuclear,4,1
NW_Nuclear,5,1
NW_Nuclear,6,1
NW_Nuclear,7,1
NW_Nuclear,8,1
NW_Nuclear,9,0.5
NW_Nuclear,10,0.5
NW_Nuclear,11,0.5
NW_Nuclear,12,0.5
NW_Nuclear,13,1
NW_Nuclear,14,1
NW_Nuclear,15,1
NW_Nuclear,16,1
NW_Nuclear,17,1
NW_Nuclear,18,1
NW_Nuclear,19,1
NW_Nuclear,20,0.5
NW_Nuclear,21,0.5
NW_Nuclear,22,0.5
NW_Nuclear,23,1
NW_Nuclear,24,1
NW_Nuclear,25,1
NW_Nuclear,26,1
NW_Nuclear,27,1
NW_Nuclear,28,1
NW_Nuclear,29,1
NW_Nuclear,30,1
NW_Nuclear,31,1
NW_Nuclear,32,1
NW_Nuclear,33,1
NW_Nuclear,34,1
NW_Nuclear,35,0.5
NW_Nuclear,36,1
NW_Nuclear,37,1
NW_Small_Hydro_for_CAISO,1,0.5
NW_Small_Hydro_for_CAISO,2,0.5
NW_Small_Hydro_for_CAISO,3,0.5
NW_Small_Hydro_for_CAISO,4,0.5
NW_Small_Hydro_for_CAISO,5,0.5
NW_Small_Hydro_for_CAISO,6,0.5
NW_Small_Hydro_for_CAISO,7,0.5
NW_Small_Hydro_for_CAISO,8,0.5
NW_Small_Hydro_for_CAISO,9,0.5
NW_Small_Hydro_for_CAISO,10,0.5
NW_Small_Hydro_for_CAISO,11,0.5
NW_Small_Hydro_for_CAISO,12,0.5
NW_Small_Hydro_for_CAISO,13,0.5
NW_Small_Hydro_for_CAISO,14,0.5
NW_Small_Hydro_for_CAISO,15,0.5
NW_Small_Hydro_for_CAISO,16,0.5
NW_Small_Hydro_for_CAISO,17,0.5
NW_Small_Hydro_for_CAISO,18,0.5
NW_Small_Hydro_for_CAISO,19,0.5
NW_Small_Hydro_for_CAISO,20,0.5
NW_Small_Hydro_for_CAISO,21,0.5
NW_Small_Hydro_for_CAISO,22,0.5
NW_Small_Hydro_for_CAISO,23,0.5
NW_Small_Hydro_for_CAISO,24,0.5
NW_Small_Hydro_for_CAISO,25,0.5
NW_Small_Hydro_for_CAISO,26,0.5
NW_Small_Hydro_for_CAISO,27,0.5
NW_Small_Hydro_for_CAISO,28,0.5
NW_Small_Hydro_for_CAISO,29,0.5
NW_Small_Hydro_for_CAISO,30,0.5
NW_Small_Hydro_for_CAISO,31,0.5
NW_Small_Hydro_for_CAISO,32,0.5
NW_Small_Hydro_for_CAISO,33,0.5
NW_Small_Hydro_for_CAISO,34,0.5
NW_Small_Hydro_for_CAISO,35,0.5
NW_Small_Hydro_for_CAISO,36,0.5
NW_Small_Hydro_for_CAISO,37,0.5
