subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,2020090115,2020,1,30,,,9,15,9/1/20 14:00,20200901
1,1,2020090116,2020,1,30,,,9,16,9/1/20 15:00,20200901
1,1,2020090117,2020,1,30,,,9,17,9/1/20 16:00,20200901
1,1,2020090118,2020,1,30,,,9,18,9/1/20 17:00,20200901
1,1,2020090119,2020,1,30,,,9,19,9/1/20 18:00,20200901
1,1,2020090120,2020,1,30,,,9,20,9/1/20 19:00,20200901
1,1,2020090121,2020,1,30,,,9,21,9/1/20 20:00,20200901
1,1,2020090122,2020,1,30,,,9,22,9/1/20 21:00,20200901
1,1,2020090123,2020,1,30,,,9,23,9/1/20 22:00,20200901
1,1,2020090124,2020,1,30,,,9,24,9/1/20 23:00,20200901
1,1,2020100101,2020,1,31,,,10,1,10/1/20 0:00,20201001
1,1,2020100102,2020,1,31,,,10,2,10/1/20 1:00,20201001
1,1,2020100103,2020,1,31,,,10,3,10/1/20 2:00,20201001
1,1,2020100104,2020,1,31,,,10,4,10/1/20 3:00,20201001
1,1,2020100105,2020,1,31,,,10,5,10/1/20 4:00,20201001
1,1,2020100106,2020,1,31,,,10,6,10/1/20 5:00,20201001
1,1,2020100107,2020,1,31,,,10,7,10/1/20 6:00,20201001
1,1,2020100108,2020,1,31,,,10,8,10/1/20 7:00,20201001
1,1,2020100109,2020,1,31,,,10,9,10/1/20 8:00,20201001
1,1,2020100110,2020,1,31,,,10,10,10/1/20 9:00,20201001
1,1,2020100111,2020,1,31,,,10,11,10/1/20 10:00,20201001
1,1,2020100112,2020,1,31,,,10,12,10/1/20 11:00,20201001
1,1,2020100113,2020,1,31,,,10,13,10/1/20 12:00,20201001
1,1,2020100114,2020,1,31,,,10,14,10/1/20 13:00,20201001
1,1,2020100115,2020,1,31,,,10,15,10/1/20 14:00,20201001
1,1,2020100116,2020,1,31,,,10,16,10/1/20 15:00,20201001
1,1,2020100117,2020,1,31,,,10,17,10/1/20 16:00,20201001
1,1,2020100118,2020,1,31,,,10,18,10/1/20 17:00,20201001
1,1,2020100119,2020,1,31,,,10,19,10/1/20 18:00,20201001
1,1,2020100120,2020,1,31,,,10,20,10/1/20 19:00,20201001
1,1,2020100121,2020,1,31,,,10,21,10/1/20 20:00,20201001
1,1,2020100122,2020,1,31,,,10,22,10/1/20 21:00,20201001
1,1,2020100123,2020,1,31,,,10,23,10/1/20 22:00,20201001
1,1,2020100124,2020,1,31,,,10,24,10/1/20 23:00,20201001
1,1,2020110101,2020,1,30,,,11,1,11/1/20 0:00,20201101
1,1,2020110102,2020,1,30,,,11,2,11/1/20 1:00,20201101
1,1,2020110103,2020,1,30,,,11,3,11/1/20 2:00,20201101
1,1,2020110104,2020,1,30,,,11,4,11/1/20 3:00,20201101
1,1,2020110105,2020,1,30,,,11,5,11/1/20 4:00,20201101
1,1,2020110106,2020,1,30,,,11,6,11/1/20 5:00,20201101
1,1,2020110107,2020,1,30,,,11,7,11/1/20 6:00,20201101
1,1,2020110108,2020,1,30,,,11,8,11/1/20 7:00,20201101
1,1,2020110109,2020,1,30,,,11,9,11/1/20 8:00,20201101
1,1,2020110110,2020,1,30,,,11,10,11/1/20 9:00,20201101
1,1,2020110111,2020,1,30,,,11,11,11/1/20 10:00,20201101
1,1,2020110112,2020,1,30,,,11,12,11/1/20 11:00,20201101
1,1,2020110113,2020,1,30,,,11,13,11/1/20 12:00,20201101
1,1,2020110114,2020,1,30,,,11,14,11/1/20 13:00,20201101
1,1,2020110115,2020,1,30,,,11,15,11/1/20 14:00,20201101
1,1,2020110116,2020,1,30,,,11,16,11/1/20 15:00,20201101
1,1,2020110117,2020,1,30,,,11,17,11/1/20 16:00,20201101
1,1,2020110118,2020,1,30,,,11,18,11/1/20 17:00,20201101
1,1,2020110119,2020,1,30,,,11,19,11/1/20 18:00,20201101
1,1,2020110120,2020,1,30,,,11,20,11/1/20 19:00,20201101
1,1,2020110121,2020,1,30,,,11,21,11/1/20 20:00,20201101
1,1,2020110122,2020,1,30,,,11,22,11/1/20 21:00,20201101
1,1,2020110123,2020,1,30,,,11,23,11/1/20 22:00,20201101
1,1,2020110124,2020,1,30,,,11,24,11/1/20 23:00,20201101
1,1,2020120101,2020,1,31,,,12,1,12/1/20 0:00,20201201
1,1,2020120102,2020,1,31,,,12,2,12/1/20 1:00,20201201
1,1,2020120103,2020,1,31,,,12,3,12/1/20 2:00,20201201
1,1,2020120104,2020,1,31,,,12,4,12/1/20 3:00,20201201
1,1,2020120105,2020,1,31,,,12,5,12/1/20 4:00,20201201
1,1,2020120106,2020,1,31,,,12,6,12/1/20 5:00,20201201
1,1,2020120107,2020,1,31,,,12,7,12/1/20 6:00,20201201
1,1,2020120108,2020,1,31,,,12,8,12/1/20 7:00,20201201
1,1,2020120109,2020,1,31,,,12,9,12/1/20 8:00,20201201
1,1,2020120110,2020,1,31,,,12,10,12/1/20 9:00,20201201
1,1,2020120111,2020,1,31,,,12,11,12/1/20 10:00,20201201
1,1,2020120112,2020,1,31,,,12,12,12/1/20 11:00,20201201
1,1,2020120113,2020,1,31,,,12,13,12/1/20 12:00,20201201
1,1,2020120114,2020,1,31,,,12,14,12/1/20 13:00,20201201
1,1,2020120115,2020,1,31,,,12,15,12/1/20 14:00,20201201
1,1,2020120116,2020,1,31,,,12,16,12/1/20 15:00,20201201
1,1,2020120117,2020,1,31,,,12,17,12/1/20 16:00,20201201
1,1,2020120118,2020,1,31,,,12,18,12/1/20 17:00,20201201
1,1,2020120119,2020,1,31,,,12,19,12/1/20 18:00,20201201
1,1,2020120120,2020,1,31,,,12,20,12/1/20 19:00,20201201
1,1,2020120121,2020,1,31,,,12,21,12/1/20 20:00,20201201
1,1,2020120122,2020,1,31,,,12,22,12/1/20 21:00,20201201
1,1,2020120123,2020,1,31,,,12,23,12/1/20 22:00,20201201
1,1,2020120124,2020,1,31,,,12,24,12/1/20 23:00,20201201
1,1,2025010101,2025,1,31,,,1,1,1/1/25 0:00,20250101
1,1,2025010102,2025,1,31,,,1,2,1/1/25 1:00,20250101
1,1,2025010103,2025,1,31,,,1,3,1/1/25 2:00,20250101
1,1,2025010104,2025,1,31,,,1,4,1/1/25 3:00,20250101
1,1,2025010105,2025,1,31,,,1,5,1/1/25 4:00,20250101
1,1,2025010106,2025,1,31,,,1,6,1/1/25 5:00,20250101
1,1,2025010107,2025,1,31,,,1,7,1/1/25 6:00,20250101
1,1,2025010108,2025,1,31,,,1,8,1/1/25 7:00,20250101
1,1,2025010109,2025,1,31,,,1,9,1/1/25 8:00,20250101
1,1,2025010110,2025,1,31,,,1,10,1/1/25 9:00,20250101
1,1,2025010111,2025,1,31,,,1,11,1/1/25 10:00,20250101
1,1,2025010112,2025,1,31,,,1,12,1/1/25 11:00,20250101
1,1,2025010113,2025,1,31,,,1,13,1/1/25 12:00,20250101
1,1,2025010114,2025,1,31,,,1,14,1/1/25 13:00,20250101
1,1,2025010115,2025,1,31,,,1,15,1/1/25 14:00,20250101
1,1,2025010116,2025,1,31,,,1,16,1/1/25 15:00,20250101
1,1,2025010117,2025,1,31,,,1,17,1/1/25 16:00,20250101
1,1,2025010118,2025,1,31,,,1,18,1/1/25 17:00,20250101
1,1,2025010119,2025,1,31,,,1,19,1/1/25 18:00,20250101
1,1,2025010120,2025,1,31,,,1,20,1/1/25 19:00,20250101
1,1,2025010121,2025,1,31,,,1,21,1/1/25 20:00,20250101
1,1,2025010122,2025,1,31,,,1,22,1/1/25 21:00,20250101
1,1,2025010123,2025,1,31,,,1,23,1/1/25 22:00,20250101
1,1,2025010124,2025,1,31,,,1,24,1/1/25 23:00,20250101
1,1,2025020101,2025,1,28,,,2,1,2/1/25 0:00,20250201
1,1,2025020102,2025,1,28,,,2,2,2/1/25 1:00,20250201
1,1,2025020103,2025,1,28,,,2,3,2/1/25 2:00,20250201
1,1,2025020104,2025,1,28,,,2,4,2/1/25 3:00,20250201
1,1,2025020105,2025,1,28,,,2,5,2/1/25 4:00,20250201
1,1,2025020106,2025,1,28,,,2,6,2/1/25 5:00,20250201
1,1,2025020107,2025,1,28,,,2,7,2/1/25 6:00,20250201
1,1,2025020108,2025,1,28,,,2,8,2/1/25 7:00,20250201
1,1,2025020109,2025,1,28,,,2,9,2/1/25 8:00,20250201
1,1,2025020110,2025,1,28,,,2,10,2/1/25 9:00,20250201
1,1,2025020111,2025,1,28,,,2,11,2/1/25 10:00,20250201
1,1,2025020112,2025,1,28,,,2,12,2/1/25 11:00,20250201
1,1,2025020113,2025,1,28,,,2,13,2/1/25 12:00,20250201
1,1,2025020114,2025,1,28,,,2,14,2/1/25 13:00,20250201
1,1,2025020115,2025,1,28,,,2,15,2/1/25 14:00,20250201
1,1,2025020116,2025,1,28,,,2,16,2/1/25 15:00,20250201
1,1,2025020117,2025,1,28,,,2,17,2/1/25 16:00,20250201
1,1,2025020118,2025,1,28,,,2,18,2/1/25 17:00,20250201
1,1,2025020119,2025,1,28,,,2,19,2/1/25 18:00,20250201
1,1,2025020120,2025,1,28,,,2,20,2/1/25 19:00,20250201
1,1,2025020121,2025,1,28,,,2,21,2/1/25 20:00,20250201
1,1,2025020122,2025,1,28,,,2,22,2/1/25 21:00,20250201
1,1,2025020123,2025,1,28,,,2,23,2/1/25 22:00,20250201
1,1,2025020124,2025,1,28,,,2,24,2/1/25 23:00,20250201
1,1,2025030101,2025,1,31,,,3,1,3/1/25 0:00,20250301
1,1,2025030102,2025,1,31,,,3,2,3/1/25 1:00,20250301
1,1,2025030103,2025,1,31,,,3,3,3/1/25 2:00,20250301
1,1,2025030104,2025,1,31,,,3,4,3/1/25 3:00,20250301
1,1,2025030105,2025,1,31,,,3,5,3/1/25 4:00,20250301
1,1,2025030106,2025,1,31,,,3,6,3/1/25 5:00,20250301
1,1,2025030107,2025,1,31,,,3,7,3/1/25 6:00,20250301
1,1,2025030108,2025,1,31,,,3,8,3/1/25 7:00,20250301
1,1,2025030109,2025,1,31,,,3,9,3/1/25 8:00,20250301
1,1,2025030110,2025,1,31,,,3,10,3/1/25 9:00,20250301
1,1,2025030111,2025,1,31,,,3,11,3/1/25 10:00,20250301
1,1,2025030112,2025,1,31,,,3,12,3/1/25 11:00,20250301
1,1,2025030113,2025,1,31,,,3,13,3/1/25 12:00,20250301
1,1,2025030114,2025,1,31,,,3,14,3/1/25 13:00,20250301
1,1,2025030115,2025,1,31,,,3,15,3/1/25 14:00,20250301
1,1,2025030116,2025,1,31,,,3,16,3/1/25 15:00,20250301
1,1,2025030117,2025,1,31,,,3,17,3/1/25 16:00,20250301
1,1,2025030118,2025,1,31,,,3,18,3/1/25 17:00,20250301
1,1,2025030119,2025,1,31,,,3,19,3/1/25 18:00,20250301
1,1,2025030120,2025,1,31,,,3,20,3/1/25 19:00,20250301
1,1,2025030121,2025,1,31,,,3,21,3/1/25 20:00,20250301
1,1,2025030122,2025,1,31,,,3,22,3/1/25 21:00,20250301
1,1,2025030123,2025,1,31,,,3,23,3/1/25 22:00,20250301
1,1,2025030124,2025,1,31,,,3,24,3/1/25 23:00,20250301
1,1,2025040101,2025,1,30,,,4,1,4/1/25 0:00,20250401
1,1,2025040102,2025,1,30,,,4,2,4/1/25 1:00,20250401
1,1,2025040103,2025,1,30,,,4,3,4/1/25 2:00,20250401
1,1,2025040104,2025,1,30,,,4,4,4/1/25 3:00,20250401
1,1,2025040105,2025,1,30,,,4,5,4/1/25 4:00,20250401
1,1,2025040106,2025,1,30,,,4,6,4/1/25 5:00,20250401
1,1,2025040107,2025,1,30,,,4,7,4/1/25 6:00,20250401
1,1,2025040108,2025,1,30,,,4,8,4/1/25 7:00,20250401
1,1,2025040109,2025,1,30,,,4,9,4/1/25 8:00,20250401
1,1,2025040110,2025,1,30,,,4,10,4/1/25 9:00,20250401
1,1,2025040111,2025,1,30,,,4,11,4/1/25 10:00,20250401
1,1,2025040112,2025,1,30,,,4,12,4/1/25 11:00,20250401
1,1,2025040113,2025,1,30,,,4,13,4/1/25 12:00,20250401
1,1,2025040114,2025,1,30,,,4,14,4/1/25 13:00,20250401
1,1,2025040115,2025,1,30,,,4,15,4/1/25 14:00,20250401
1,1,2025040116,2025,1,30,,,4,16,4/1/25 15:00,20250401
1,1,2025040117,2025,1,30,,,4,17,4/1/25 16:00,20250401
1,1,2025040118,2025,1,30,,,4,18,4/1/25 17:00,20250401
1,1,2025040119,2025,1,30,,,4,19,4/1/25 18:00,20250401
